district,party,base_vote_pct
Ardesen,AKP,32.9
Ardesen,CHP,33.6
Ardesen,IYI,4.2
Ardesen,DEM,0.1
Ardesen,MHP,7.5
Ardesen,YRP,3.3
Ardesen,TIP,0.0
Ardesen,ZAFER,0.0
Ardesen,BBP,0.2
Ardesen,SAADET,16.4
Camlihemsin,AKP,42.1
Camlihemsin,CHP,29.6
Camlihemsin,IYI,0.7
Camlihemsin,DEM,0.0
Camlihemsin,MHP,12.7
Camlihemsin,YRP,1.7
Camlihemsin,TIP,0.0
Camlihemsin,ZAFER,0.0
Camlihemsin,BBP,0.0
Camlihemsin,SAADET,0.3
Cayeli,AKP,43.7
Cayeli,CHP,6.4
Cayeli,IYI,0.0
Cayeli,DEM,0.0
Cayeli,MHP,38.5
Cayeli,YRP,4.9
Cayeli,TIP,0.0
Cayeli,ZAFER,2.2
Cayeli,BBP,0.7
Cayeli,SAADET,1.9
Derepazari,AKP,41.8
Derepazari,CHP,0.0
Derepazari,IYI,0.0
Derepazari,DEM,0.0
Derepazari,MHP,26.3
Derepazari,YRP,3.6
Derepazari,TIP,0.0
Derepazari,ZAFER,1.1
Derepazari,BBP,20.0
Derepazari,SAADET,6.5
Findikli,AKP,34.4
Findikli,CHP,53.2
Findikli,IYI,7.0
Findikli,DEM,0.0
Findikli,MHP,3.9
Findikli,YRP,0.0
Findikli,TIP,0.0
Findikli,ZAFER,0.0
Findikli,BBP,0.5
Findikli,SAADET,0.0
Guneysu,AKP,60.2
Guneysu,CHP,11.4
Guneysu,IYI,0.0
Guneysu,DEM,0.0
Guneysu,MHP,14.9
Guneysu,YRP,7.2
Guneysu,TIP,0.0
Guneysu,ZAFER,1.7
Guneysu,BBP,2.3
Guneysu,SAADET,1.1
Hemsin,AKP,57.1
Hemsin,CHP,38.7
Hemsin,IYI,0.0
Hemsin,DEM,0.0
Hemsin,MHP,2.6
Hemsin,YRP,0.9
Hemsin,TIP,0.0
Hemsin,ZAFER,0.0
Hemsin,BBP,0.0
Hemsin,SAADET,0.0
Ikizdere,AKP,50.9
Ikizdere,CHP,13.2
Ikizdere,IYI,0.0
Ikizdere,DEM,0.0
Ikizdere,MHP,33.1
Ikizdere,YRP,2.2
Ikizdere,TIP,0.0
Ikizdere,ZAFER,0.0
Ikizdere,BBP,0.0
Ikizdere,SAADET,0.0
Iyidere,AKP,61.9
Iyidere,CHP,0.0
Iyidere,IYI,0.0
Iyidere,DEM,0.0
Iyidere,MHP,24.9
Iyidere,YRP,4.9
Iyidere,TIP,0.0
Iyidere,ZAFER,0.0
Iyidere,BBP,4.5
Iyidere,SAADET,3.0
Kalkandere,AKP,37.4
Kalkandere,CHP,0.0
Kalkandere,IYI,6.6
Kalkandere,DEM,0.0
Kalkandere,MHP,11.0
Kalkandere,YRP,9.3
Kalkandere,TIP,0.0
Kalkandere,ZAFER,0.0
Kalkandere,BBP,32.1
Kalkandere,SAADET,1.0
Merkez,AKP,46.8
Merkez,CHP,14.3
Merkez,IYI,5.0
Merkez,DEM,0.0
Merkez,MHP,6.4
Merkez,YRP,17.0
Merkez,TIP,0.0
Merkez,ZAFER,2.6
Merkez,BBP,2.0
Merkez,SAADET,3.0
Pazar,AKP,32.2
Pazar,CHP,45.7
Pazar,IYI,2.4
Pazar,DEM,0.0
Pazar,MHP,15.5
Pazar,YRP,2.8
Pazar,TIP,0.0
Pazar,ZAFER,0.0
Pazar,BBP,0.0
Pazar,SAADET,0.9
