district,party,base_vote_pct
Adapazari,AKP,43.0
Adapazari,CHP,18.6
Adapazari,IYI,12.9
Adapazari,DEM,2.0
Adapazari,MHP,11.1
Adapazari,YRP,5.1
Adapazari,TIP,0.6
Adapazari,ZAFER,3.1
Adapazari,BBP,0.9
Akyazi,AKP,58.2
Akyazi,CHP,9.8
Akyazi,IYI,6.7
Akyazi,DEM,0.3
Akyazi,MHP,13.9
Akyazi,YRP,5.3
Akyazi,TIP,0.3
Akyazi,ZAFER,2.4
Akyazi,BBP,1.0
Arifiye,AKP,48.6
Arifiye,CHP,13.6
Arifiye,IYI,8.5
Arifiye,DEM,4.2
Arifiye,MHP,11.3
Arifiye,YRP,7.1
Arifiye,TIP,0.6
Arifiye,ZAFER,2.6
Arifiye,BBP,1.2
Erenler,AKP,50.9
Erenler,CHP,12.7
Erenler,IYI,9.7
Erenler,DEM,1.8
Erenler,MHP,11.9
Erenler,YRP,6.1
Erenler,TIP,0.4
Erenler,ZAFER,2.9
Erenler,BBP,1.0
Ferizli,AKP,49.3
Ferizli,CHP,13.1
Ferizli,IYI,12.7
Ferizli,DEM,0.7
Ferizli,MHP,13.2
Ferizli,YRP,4.9
Ferizli,TIP,0.2
Ferizli,ZAFER,2.4
Ferizli,BBP,0.7
Geyve,AKP,48.5
Geyve,CHP,15.5
Geyve,IYI,9.6
Geyve,DEM,0.9
Geyve,MHP,13.9
Geyve,YRP,5.6
Geyve,TIP,0.2
Geyve,ZAFER,2.1
Geyve,BBP,1.1
Hendek,AKP,56.0
Hendek,CHP,12.4
Hendek,IYI,9.6
Hendek,DEM,1.0
Hendek,MHP,11.4
Hendek,YRP,3.8
Hendek,TIP,0.6
Hendek,ZAFER,2.5
Hendek,BBP,0.6
Karapurcek,AKP,56.0
Karapurcek,CHP,12.1
Karapurcek,IYI,5.6
Karapurcek,DEM,0.5
Karapurcek,MHP,11.7
Karapurcek,YRP,8.4
Karapurcek,TIP,0.2
Karapurcek,ZAFER,1.9
Karapurcek,BBP,1.1
Karasu,AKP,47.4
Karasu,CHP,17.6
Karasu,IYI,11.2
Karasu,DEM,1.3
Karasu,MHP,12.5
Karasu,YRP,3.7
Karasu,TIP,0.5
Karasu,ZAFER,2.3
Karasu,BBP,1.0
Kaynarca,AKP,53.8
Kaynarca,CHP,10.7
Kaynarca,IYI,7.6
Kaynarca,DEM,0.3
Kaynarca,MHP,17.3
Kaynarca,YRP,4.4
Kaynarca,TIP,0.2
Kaynarca,ZAFER,2.2
Kaynarca,BBP,1.0
Kocaali,AKP,47.9
Kocaali,CHP,13.4
Kocaali,IYI,11.2
Kocaali,DEM,0.5
Kocaali,MHP,18.0
Kocaali,YRP,4.0
Kocaali,TIP,0.4
Kocaali,ZAFER,1.8
Kocaali,BBP,0.5
Pamukova,AKP,51.2
Pamukova,CHP,14.2
Pamukova,IYI,10.8
Pamukova,DEM,0.5
Pamukova,MHP,11.3
Pamukova,YRP,4.5
Pamukova,TIP,0.3
Pamukova,ZAFER,2.2
Pamukova,BBP,1.1
Sapanca,AKP,43.0
Sapanca,CHP,23.4
Sapanca,IYI,9.6
Sapanca,DEM,2.0
Sapanca,MHP,9.7
Sapanca,YRP,6.3
Sapanca,TIP,0.8
Sapanca,ZAFER,2.2
Sapanca,BBP,1.2
Serdivan,AKP,38.1
Serdivan,CHP,21.3
Serdivan,IYI,15.6
Serdivan,DEM,1.5
Serdivan,MHP,11.3
Serdivan,YRP,4.8
Serdivan,TIP,0.9
Serdivan,ZAFER,3.2
Serdivan,BBP,0.9
Sogutlu,AKP,49.6
Sogutlu,CHP,18.1
Sogutlu,IYI,12.2
Sogutlu,DEM,0.5
Sogutlu,MHP,8.9
Sogutlu,YRP,3.6
Sogutlu,TIP,0.4
Sogutlu,ZAFER,2.5
Sogutlu,BBP,0.9
Tarakli,AKP,56.7
Tarakli,CHP,10.9
Tarakli,IYI,6.8
Tarakli,DEM,0.1
Tarakli,MHP,16.9
Tarakli,YRP,3.9
Tarakli,TIP,0.1
Tarakli,ZAFER,1.4
Tarakli,BBP,0.8
