district,party,base_vote_pct
Ondokuzmayis,AKP,48.6
Ondokuzmayis,CHP,16.0
Ondokuzmayis,IYI,6.7
Ondokuzmayis,DEM,0.0
Ondokuzmayis,MHP,0.0
Ondokuzmayis,YRP,18.6
Ondokuzmayis,TIP,0.0
Ondokuzmayis,ZAFER,1.1
Ondokuzmayis,BBP,4.5
Ondokuzmayis,SAADET,1.9
Alacam,AKP,0.0
Alacam,CHP,31.3
Alacam,IYI,5.0
Alacam,DEM,0.0
Alacam,MHP,35.4
Alacam,YRP,21.3
Alacam,TIP,0.0
Alacam,ZAFER,0.9
Alacam,BBP,1.1
Alacam,SAADET,1.2
Asarcik,AKP,0.0
Asarcik,CHP,4.5
Asarcik,IYI,11.2
Asarcik,DEM,0.0
Asarcik,MHP,44.4
Asarcik,YRP,36.3
Asarcik,TIP,0.0
Asarcik,ZAFER,0.5
Asarcik,BBP,1.8
Asarcik,SAADET,0.8
Atakum,AKP,29.2
Atakum,CHP,44.2
Atakum,IYI,13.2
Atakum,DEM,0.0
Atakum,MHP,0.0
Atakum,YRP,4.7
Atakum,TIP,0.7
Atakum,ZAFER,4.0
Atakum,BBP,1.0
Atakum,SAADET,0.7
Ayvacik,AKP,48.9
Ayvacik,CHP,3.5
Ayvacik,IYI,1.9
Ayvacik,DEM,0.0
Ayvacik,MHP,0.0
Ayvacik,YRP,37.5
Ayvacik,TIP,0.0
Ayvacik,ZAFER,0.9
Ayvacik,BBP,0.0
Ayvacik,SAADET,0.0
Bafra,AKP,39.3
Bafra,CHP,14.7
Bafra,IYI,21.6
Bafra,DEM,0.2
Bafra,MHP,0.0
Bafra,YRP,19.7
Bafra,TIP,0.0
Bafra,ZAFER,1.7
Bafra,BBP,0.0
Bafra,SAADET,1.3
Canik,AKP,39.6
Canik,CHP,18.0
Canik,IYI,11.5
Canik,DEM,0.1
Canik,MHP,0.0
Canik,YRP,19.3
Canik,TIP,0.1
Canik,ZAFER,2.2
Canik,BBP,5.2
Canik,SAADET,1.3
Carsamba,AKP,50.1
Carsamba,CHP,18.9
Carsamba,IYI,6.1
Carsamba,DEM,0.0
Carsamba,MHP,0.0
Carsamba,YRP,14.9
Carsamba,TIP,0.0
Carsamba,ZAFER,1.7
Carsamba,BBP,0.0
Carsamba,SAADET,2.8
Havza,AKP,40.8
Havza,CHP,26.3
Havza,IYI,8.9
Havza,DEM,0.0
Havza,MHP,0.0
Havza,YRP,11.5
Havza,TIP,1.8
Havza,ZAFER,0.9
Havza,BBP,7.5
Havza,SAADET,0.9
Ilkadim,AKP,34.0
Ilkadim,CHP,28.4
Ilkadim,IYI,19.8
Ilkadim,DEM,0.1
Ilkadim,MHP,0.0
Ilkadim,YRP,10.0
Ilkadim,TIP,0.1
Ilkadim,ZAFER,2.8
Ilkadim,BBP,1.0
Ilkadim,SAADET,1.3
Kavak,AKP,32.8
Kavak,CHP,7.3
Kavak,IYI,19.2
Kavak,DEM,0.0
Kavak,MHP,0.0
Kavak,YRP,36.2
Kavak,TIP,0.2
Kavak,ZAFER,1.1
Kavak,BBP,0.7
Kavak,SAADET,1.4
Ladik,AKP,36.3
Ladik,CHP,17.3
Ladik,IYI,8.6
Ladik,DEM,0.0
Ladik,MHP,0.0
Ladik,YRP,33.3
Ladik,TIP,0.0
Ladik,ZAFER,0.7
Ladik,BBP,0.6
Ladik,SAADET,2.4
Salipazari,AKP,0.0
Salipazari,CHP,9.8
Salipazari,IYI,6.5
Salipazari,DEM,0.0
Salipazari,MHP,33.3
Salipazari,YRP,16.9
Salipazari,TIP,0.0
Salipazari,ZAFER,0.0
Salipazari,BBP,30.1
Salipazari,SAADET,1.4
Tekkekoy,AKP,51.1
Tekkekoy,CHP,9.6
Tekkekoy,IYI,3.6
Tekkekoy,DEM,0.0
Tekkekoy,MHP,0.0
Tekkekoy,YRP,31.5
Tekkekoy,TIP,0.1
Tekkekoy,ZAFER,1.3
Tekkekoy,BBP,0.3
Tekkekoy,SAADET,1.4
Terme,AKP,50.8
Terme,CHP,31.0
Terme,IYI,3.8
Terme,DEM,0.0
Terme,MHP,0.0
Terme,YRP,7.3
Terme,TIP,0.0
Terme,ZAFER,0.8
Terme,BBP,0.7
Terme,SAADET,2.8
Vezirkopru,AKP,45.7
Vezirkopru,CHP,9.6
Vezirkopru,IYI,4.1
Vezirkopru,DEM,0.0
Vezirkopru,MHP,0.0
Vezirkopru,YRP,33.9
Vezirkopru,TIP,0.1
Vezirkopru,ZAFER,0.0
Vezirkopru,BBP,4.0
Vezirkopru,SAADET,1.4
Yakakent,AKP,38.4
Yakakent,CHP,16.1
Yakakent,IYI,41.0
Yakakent,DEM,0.0
Yakakent,MHP,0.0
Yakakent,YRP,1.1
Yakakent,TIP,0.0
Yakakent,ZAFER,0.5
Yakakent,BBP,0.2
Yakakent,SAADET,0.0
