district,party,base_vote_pct
Akcakale,AKP,39.4
Akcakale,CHP,1.6
Akcakale,IYI,0
Akcakale,DEM,0
Akcakale,MHP,0
Akcakale,YRP,34.7
Akcakale,TIP,0.1
Akcakale,ZAFER,0
Akcakale,BBP,1.2
Akcakale,SAADET,0.5
Birecik,AKP,28.7
Birecik,CHP,3.2
Birecik,IYI,1.4
Birecik,DEM,50.7
Birecik,MHP,0
Birecik,YRP,8.9
Birecik,TIP,0.1
Birecik,ZAFER,0
Birecik,BBP,0.6
Birecik,SAADET,0.7
Bozova,AKP,31.7
Bozova,CHP,1.2
Bozova,IYI,1.7
Bozova,DEM,36.2
Bozova,MHP,0
Bozova,YRP,22.3
Bozova,TIP,0.1
Bozova,ZAFER,0
Bozova,BBP,0.4
Bozova,SAADET,0
Ceylanpinar,AKP,40.5
Ceylanpinar,CHP,1.3
Ceylanpinar,IYI,0.5
Ceylanpinar,DEM,43.8
Ceylanpinar,MHP,0
Ceylanpinar,YRP,9.5
Ceylanpinar,TIP,0.1
Ceylanpinar,ZAFER,0
Ceylanpinar,BBP,0.3
Ceylanpinar,SAADET,0.4
Eyyubiye,AKP,41
Eyyubiye,CHP,1.5
Eyyubiye,IYI,0.6
Eyyubiye,DEM,14.1
Eyyubiye,MHP,0
Eyyubiye,YRP,36.8
Eyyubiye,TIP,0.2
Eyyubiye,ZAFER,0
Eyyubiye,BBP,1
Eyyubiye,SAADET,1.7
Halfeti,AKP,31.9
Halfeti,CHP,3.8
Halfeti,IYI,1.6
Halfeti,DEM,39.8
Halfeti,MHP,0
Halfeti,YRP,20.8
Halfeti,TIP,0.1
Halfeti,ZAFER,0
Halfeti,BBP,0.5
Halfeti,SAADET,0
Haliliye,AKP,38.9
Haliliye,CHP,3
Haliliye,IYI,0.9
Haliliye,DEM,15.8
Haliliye,MHP,0
Haliliye,YRP,35.3
Haliliye,TIP,0
Haliliye,ZAFER,0
Haliliye,BBP,0.3
Haliliye,SAADET,1.2
Harran,AKP,0
Harran,CHP,0
Harran,IYI,0.7
Harran,DEM,0
Harran,MHP,53.4
Harran,YRP,28.2
Harran,TIP,0.4
Harran,ZAFER,0
Harran,BBP,14.6
Harran,SAADET,1.9
Hilvan,AKP,31.6
Hilvan,CHP,8.9
Hilvan,IYI,0.8
Hilvan,DEM,30.2
Hilvan,MHP,0
Hilvan,YRP,21
Hilvan,TIP,0.1
Hilvan,ZAFER,0
Hilvan,BBP,0.2
Hilvan,SAADET,0.6
Karakopru,AKP,31.6
Karakopru,CHP,3.6
Karakopru,IYI,0.9
Karakopru,DEM,18
Karakopru,MHP,0
Karakopru,YRP,38.1
Karakopru,TIP,0.1
Karakopru,ZAFER,0
Karakopru,BBP,0.9
Karakopru,SAADET,2
Siverek,AKP,36.9
Siverek,CHP,0
Siverek,IYI,0.8
Siverek,DEM,18.1
Siverek,MHP,0
Siverek,YRP,40.4
Siverek,TIP,0.1
Siverek,ZAFER,0
Siverek,BBP,0.4
Siverek,SAADET,0.6
Suruc,AKP,25.6
Suruc,CHP,4.4
Suruc,IYI,0.6
Suruc,DEM,57.4
Suruc,MHP,0
Suruc,YRP,4.1
Suruc,TIP,0.1
Suruc,ZAFER,0
Suruc,BBP,0.1
Suruc,SAADET,0.7
Viransehir,AKP,25.7
Viransehir,CHP,1.7
Viransehir,IYI,0.7
Viransehir,DEM,48.7
Viransehir,MHP,0
Viransehir,YRP,20.5
Viransehir,TIP,0.3
Viransehir,ZAFER,0
Viransehir,BBP,0.4
Viransehir,SAADET,0.5
