district,party,base_vote_pct
Kurtalan,AKP,24.91
Kurtalan,CHP,5.73
Kurtalan,IYI,1.44
Kurtalan,DEM,63.17
Kurtalan,MHP,1.47
Kurtalan,YRP,1.07
Kurtalan,TIP,0
Kurtalan,ZAFER,0
Kurtalan,BBP,0.15
Merkez,AKP,33.89
Merkez,CHP,7.31
Merkez,IYI,1.31
Merkez,DEM,50.44
Merkez,MHP,3.90
Merkez,YRP,1.14
Merkez,TIP,0
Merkez,ZAFER,0
Merkez,BBP,0.26
Tillo,AKP,70.91
Tillo,CHP,4.60
Tillo,IYI,0.94
Tillo,DEM,14.82
Tillo,MHP,5.11
Tillo,YRP,1.92
Tillo,TIP,0
Tillo,ZAFER,0
Tillo,BBP,0.55
Baykan,AKP,38.99
Baykan,CHP,7.52
Baykan,IYI,1.53
Baykan,DEM,42.48
Baykan,MHP,5.22
Baykan,YRP,1.54
Baykan,TIP,0
Baykan,ZAFER,0
Baykan,BBP,0.44
Eruh,AKP,25.03
Eruh,CHP,11.22
Eruh,IYI,1.30
Eruh,DEM,52.03
Eruh,MHP,6.53
Eruh,YRP,0.69
Eruh,TIP,0
Eruh,ZAFER,0
Eruh,BBP,0.30
Pervari,AKP,50.35
Pervari,CHP,10.18
Pervari,IYI,2.06
Pervari,DEM,30.59
Pervari,MHP,2.51
Pervari,YRP,1.57
Pervari,TIP,0
Pervari,ZAFER,0
Pervari,BBP,0.37
Sirvan,AKP,66.12
Sirvan,CHP,4.27
Sirvan,IYI,1.91
Sirvan,DEM,18.95
Sirvan,MHP,5.02
Sirvan,YRP,1.40
Sirvan,TIP,0
Sirvan,ZAFER,0
Sirvan,BBP,0.41
