district,party,base_vote_pct
Gerze,AKP,43.41
Gerze,CHP,27.81
Gerze,MHP,8.23
Gerze,IYI,8.11
Gerze,BBP,3.64
Gerze,YRP,2.12
Gerze,DEM,0.3
Gerze,TIP,0.8
Erfelek,AKP,49.37
Erfelek,CHP,30.96
Erfelek,IYI,8.82
Erfelek,MHP,3.76
Erfelek,YRP,1.77
Erfelek,BBP,1.53
Erfelek,DEM,0
Erfelek,TIP,0
Duragan,AKP,55.33
Duragan,BBP,21.00
Duragan,CHP,8.40
Duragan,MHP,5.07
Duragan,IYI,3.60
Duragan,YRP,2.49
Duragan,DEM,0.30
Duragan,TIP,0.10
Sarayduzu,AKP,54.05
Sarayduzu,MHP,19.68
Sarayduzu,CHP,12.96
Sarayduzu,IYI,6.07
Sarayduzu,YRP,3.07
Sarayduzu,BBP,1.50
Sarayduzu,DEM,0.20
Sarayduzu,TIP,0.15
Turkeli,AKP,48.98
Turkeli,MHP,23.56
Turkeli,CHP,12.67
Turkeli,IYI,5.00
Turkeli,YRP,2.50
Turkeli,BBP,1.80
Turkeli,DEM,0.35
Turkeli,TIP,0.25
Dikmen,AKP,59.43
Dikmen,CHP,12.86
Dikmen,MHP,8.62
Dikmen,IYI,6.72
Dikmen,YRP,2.66
Dikmen,BBP,2.45
Dikmen,DEM,0.42
Dikmen,TIP,0.39
Boyabat,AKP,49.75
Boyabat,CHP,17.33
Boyabat,MHP,11.69
Boyabat,IYI,8.68
Boyabat,YRP,4.06
Boyabat,BBP,3.32
Boyabat,DEM,0.25
Boyabat,TIP,0.23
Ayancik,AKP,42.22
Ayancik,CHP,26.66
Ayancik,MHP,13.98
Ayancik,IYI,7.37
Ayancik,BBP,1.90
Ayancik,YRP,1.61
Ayancik,TIP,1.07
Ayancik,DEM,0.34
Merkez,CHP,38.80
Merkez,AKP,30.29
Merkez,IYI,15.16
Merkez,BBP,4.11
Merkez,MHP,3.89
Merkez,YRP,1.32
Merkez,DEM,0.51
Merkez,TIP,0.46
