district,party,base_vote_pct
Uludere,Chp,2.99
Uludere,IYI,0
Uludere,Akp,46.11
Uludere,Mhp,0
Uludere,Yrp,0
Uludere,Bbp,0
Uludere,Dem,46.53
Uludere,Tip,0
Uludere,Zafer,3.42
Uludere,Saadet,0.37
Silopi,Chp,2.95
Silopi,IYI,0.45
Silopi,Akp,8.34
Silopi,Mhp,0
Silopi,Yrp,2.04
Silopi,Bbp,0
Silopi,Dem,63.48
Silopi,Tip,0
Silopi,Zafer,1.11
Silopi,Saadet,0
Merkez,Chp,0
Merkez,IYI,0
Merkez,Akp,42.79
Merkez,Mhp,0
Merkez,Yrp,3.40
Merkez,Bbp,0
Merkez,Dem,43.36
Merkez,Tip,0
Merkez,Zafer,6.24
Merkez,Saadet,0.52
Idil,Chp,2.36
Idil,IYI,0
Idil,Akp,17.81
Idil,Mhp,0
Idil,Yrp,0
Idil,Bbp,0
Idil,Dem,72.53
Idil,Tip,0
Idil,Zafer,1.89
Idil,Saadet,0.56
Guclukonak,Chp,19.80
Guclukonak,IYI,0
Guclukonak,Akp,28.97
Guclukonak,Mhp,0
Guclukonak,Yrp,0
Guclukonak,Bbp,25.02
Guclukonak,Dem,16.51
Guclukonak,Tip,0
Guclukonak,Zafer,2.94
Guclukonak,Saadet,0
Cizre,Chp,2.13
Cizre,IYI,0
Cizre,Akp,17.41
Cizre,Mhp,0
Cizre,Yrp,0.70
Cizre,Bbp,0
Cizre,Dem,73
Cizre,Tip,0
Cizre,Zafer,0.88
Cizre,Saadet,0.14
Beytussebap,Chp,3.84
Beytussebap,IYI,0
Beytussebap,Akp,51.69
Beytussebap,Mhp,0
Beytussebap,Yrp,0
Beytussebap,Bbp,0
Beytussebap,Dem,34.82
Beytussebap,Tip,0
Beytussebap,Zafer,6.33
Beytussebap,Saadet,0
