district,party,base_vote_pct
Divrigi,CHP,44.3
Divrigi,AKP,32.0
Divrigi,BBP,13.7
Divrigi,TIP,5.6
Divrigi,IYI,2.8
Divrigi,SAADET,0.4
Divrigi,MHP,0
Divrigi,YRP,0
Divrigi,ZAFER,0
Divrigi,DEM,0
Gemerek,YRP,52.9
Gemerek,AKP,23.8
Gemerek,MHP,13.8
Gemerek,CHP,6.4
Gemerek,SAADET,1.2
Gemerek,IYI,0
Gemerek,BBP,0
Gemerek,ZAFER,0
Gemerek,DEM,0
Gemerek,TIP,0
Gurun,MHP,32.4
Gurun,CHP,29.2
Gurun,AKP,27.9
Gurun,YRP,5.4
Gurun,BBP,3.0
Gurun,IYI,0
Gurun,SAADET,0
Gurun,ZAFER,0
Gurun,DEM,0
Gurun,TIP,0
Hafik,AKP,47.1
Hafik,MHP,40.0
Hafik,CHP,5.0
Hafik,SAADET,5.0
Hafik,IYI,0
Hafik,BBP,0
Hafik,YRP,0
Hafik,ZAFER,0
Hafik,DEM,0
Hafik,TIP,0
Imranli,AKP,57.2
Imranli,CHP,29.6
Imranli,TIP,6.2
Imranli,YRP,2.2
Imranli,MHP,0
Imranli,IYI,0
Imranli,BBP,0
Imranli,SAADET,0
Imranli,ZAFER,0
Imranli,DEM,0
Kangal,AKP,29.4
Kangal,MHP,27.1
Kangal,BBP,13.7
Kangal,CHP,7.6
Kangal,IYI,0
Kangal,YRP,0
Kangal,SAADET,0
Kangal,ZAFER,0
Kangal,DEM,0
Kangal,TIP,0
Koyulhisar,AKP,41.3
Koyulhisar,IYI,38.8
Koyulhisar,MHP,11.2
Koyulhisar,BBP,5.3
Koyulhisar,YRP,1.9
Koyulhisar,CHP,0
Koyulhisar,SAADET,0
Koyulhisar,ZAFER,0
Koyulhisar,DEM,0
Koyulhisar,TIP,0
Merkez,BBP,37.4
Merkez,AKP,29.5
Merkez,MHP,12.4
Merkez,CHP,10.2
Merkez,YRP,4.2
Merkez,IYI,0.9
Merkez,SAADET,0.8
Merkez,ZAFER,0
Merkez,DEM,0
Merkez,TIP,0
Susehri,AKP,30.5
Susehri,MHP,29.7
Susehri,BBP,23.8
Susehri,CHP,8.2
Susehri,IYI,3.3
Susehri,YRP,1.5
Susehri,SAADET,0.4
Susehri,ZAFER,0
Susehri,DEM,0
Susehri,TIP,0
Sarkisla,BBP,53.3
Sarkisla,MHP,26.3
Sarkisla,CHP,14.5
Sarkisla,YRP,3.3
Sarkisla,IYI,1.3
Sarkisla,SAADET,0.5
Sarkisla,AKP,0
Sarkisla,ZAFER,0
Sarkisla,DEM,0
Sarkisla,TIP,0
Yildizeli,MHP,42.5
Yildizeli,AKP,39.6
Yildizeli,BBP,8.5
Yildizeli,YRP,4.4
Yildizeli,CHP,3.7
Yildizeli,IYI,0
Yildizeli,SAADET,0
Yildizeli,ZAFER,0
Yildizeli,DEM,0
Yildizeli,TIP,0
Zara,MHP,43.1
Zara,CHP,29.1
Zara,AKP,24.2
Zara,YRP,1.6
Zara,IYI,0
Zara,BBP,0
Zara,SAADET,0
Zara,ZAFER,0
Zara,DEM,0
Zara,TIP,0
Akincilar,MHP,58.6
Akincilar,AKP,27.5
Akincilar,CHP,8.8
Akincilar,YRP,2.3
Akincilar,SAADET,1.5
Akincilar,IYI,0
Akincilar,BBP,0
Akincilar,ZAFER,0
Akincilar,DEM,0
Akincilar,TIP,0
Altinyayla,MHP,48.4
Altinyayla,AKP,40.2
Altinyayla,BBP,6.1
Altinyayla,CHP,4.3
Altinyayla,SAADET,0.9
Altinyayla,IYI,0
Altinyayla,YRP,0
Altinyayla,ZAFER,0
Altinyayla,DEM,0
Altinyayla,TIP,0
Dogansar,AKP,54.3
Dogansar,MHP,44.1
Dogansar,SAADET,0.8
Dogansar,CHP,0
Dogansar,IYI,0
Dogansar,BBP,0
Dogansar,YRP,0
Dogansar,ZAFER,0
Dogansar,DEM,0
Dogansar,TIP,0
Golova,AKP,49.8
Golova,MHP,46.5
Golova,CHP,0
Golova,IYI,0
Golova,BBP,0
Golova,SAADET,0
Golova,YRP,0
Golova,ZAFER,0
Golova,DEM,0
Golova,TIP,0
Ulas,MHP,35.6
Ulas,YRP,26.6
Ulas,CHP,23.7
Ulas,BBP,12.9
Ulas,AKP,0
Ulas,IYI,0
Ulas,SAADET,0
Ulas,ZAFER,0
Ulas,DEM,0
Ulas,TIP,0
