district,party,base_vote_pct
Muratli,AKP,26.68
Muratli,CHP,45.15
Muratli,IYI,13.74
Muratli,DEM,3.18
Muratli,MHP,4.42
Muratli,YRP,1.02
Muratli,TIP,1.19
Muratli,ZAFER,1.59
Muratli,BBP,0.3
Sarkoy,AKP,24.89
Sarkoy,CHP,45.45
Sarkoy,IYI,14.55
Sarkoy,DEM,2.41
Sarkoy,MHP,4.99
Sarkoy,YRP,1.19
Sarkoy,TIP,1.39
Sarkoy,ZAFER,2.08
Sarkoy,BBP,0.32
Saray,AKP,24.89
Saray,CHP,45.45
Saray,IYI,14.55
Saray,DEM,2.41
Saray,MHP,4.99
Saray,YRP,1.19
Saray,TIP,1.39
Saray,ZAFER,2.08
Saray,BBP,0.32
Marmaraereglisi,AKP,27.27
Marmaraereglisi,CHP,38.35
Marmaraereglisi,IYI,10.16
Marmaraereglisi,DEM,10.87
Marmaraereglisi,MHP,5.62
Marmaraereglisi,YRP,1.30
Marmaraereglisi,TIP,1.44
Marmaraereglisi,ZAFER,1.82
Marmaraereglisi,BBP,0.54
Kapakli,AKP,39.45
Kapakli,CHP,25.40
Kapakli,IYI,8.21
Kapakli,DEM,7.11
Kapakli,MHP,8.59
Kapakli,YRP,3.10
Kapakli,TIP,1.35
Kapakli,ZAFER,3.02
Kapakli,BBP,0.81
Malkara,AKP,32.89
Malkara,CHP,38.68
Malkara,IYI,13.83
Malkara,DEM,0.95
Malkara,MHP,6.59
Malkara,YRP,0.73
Malkara,TIP,0.75
Malkara,ZAFER,1.63
Malkara,BBP,0.38
Hayrabolu,AKP,30.90
Hayrabolu,CHP,40.77
Hayrabolu,IYI,16.70
Hayrabolu,DEM,0.53
Hayrabolu,MHP,5.86
Hayrabolu,YRP,0.57
Hayrabolu,TIP,0.50
Hayrabolu,ZAFER,1.15
Hayrabolu,BBP,0.25
Ergene,AKP,32.14
Ergene,CHP,36.05
Ergene,IYI,10.26
Ergene,DEM,7.92
Ergene,MHP,5.53
Ergene,YRP,1.45
Ergene,TIP,1.24
Ergene,ZAFER,2.04
Ergene,BBP,0.41
Corlu,AKP,27.55
Corlu,CHP,41.99
Corlu,IYI,11.60
Corlu,DEM,5.84
Corlu,MHP,4.15
Corlu,YRP,1.22
Corlu,TIP,2.08
Corlu,ZAFER,2.44
Corlu,BBP,0.42
Cerkezkoy,AKP,34.81
Cerkezkoy,CHP,25.74
Cerkezkoy,IYI,7.35
Cerkezkoy,DEM,12.85
Cerkezkoy,MHP,8.26
Cerkezkoy,YRP,2.89
Cerkezkoy,TIP,1.70
Cerkezkoy,ZAFER,2.95
Cerkezkoy,BBP,0.90
Suleymanpasa,AKP,26.57
Suleymanpasa,CHP,41.14
Suleymanpasa,IYI,14.83
Suleymanpasa,DEM,2.75
Suleymanpasa,MHP,7.13
Suleymanpasa,YRP,0.89
Suleymanpasa,TIP,1.51
Suleymanpasa,ZAFER,2.10
Suleymanpasa,BBP,0.44
