district,party,base_vote_pct
Artova,AKP,56.6
Artova,MHP,40.1
Artova,SAADET,1.8
Artova,IYI,0.6
Artova,CHP,0
Artova,BBP,0
Artova,YRP,0
Artova,ZAFER,0
Artova,DEM,0
Artova,TIP,0
Basciftlik,AKP,48.9
Basciftlik,MHP,45.5
Basciftlik,IYI,3.9
Basciftlik,SAADET,0.8
Basciftlik,CHP,0
Basciftlik,BBP,0
Basciftlik,YRP,0
Basciftlik,ZAFER,0
Basciftlik,DEM,0
Basciftlik,TIP,0
Erbaa,MHP,45.8
Erbaa,AKP,32.3
Erbaa,IYI,8.4
Erbaa,CHP,8.2
Erbaa,YRP,3.3
Erbaa,SAADET,1.4
Erbaa,TIP,0.2
Erbaa,BBP,0
Erbaa,ZAFER,0
Erbaa,DEM,0
Niksar,AKP,33.9
Niksar,MHP,29.4
Niksar,CHP,20.6
Niksar,IYI,9.5
Niksar,YRP,4.3
Niksar,SAADET,0.8
Niksar,BBP,0
Niksar,ZAFER,0
Niksar,DEM,0
Niksar,TIP,0
Resadiye,MHP,52.6
Resadiye,AKP,39.2
Resadiye,CHP,6.1
Resadiye,SAADET,1.2
Resadiye,IYI,0
Resadiye,BBP,0
Resadiye,YRP,0
Resadiye,ZAFER,0
Resadiye,DEM,0
Resadiye,TIP,0
Merkez,MHP,45.7
Merkez,AKP,30.2
Merkez,CHP,13.9
Merkez,YRP,3.4
Merkez,IYI,3.3
Merkez,BBP,0
Merkez,SAADET,0
Merkez,ZAFER,0
Merkez,DEM,0
Merkez,TIP,0
Turhal,CHP,38.4
Turhal,AKP,27.7
Turhal,MHP,26.8
Turhal,IYI,1.8
Turhal,YRP,1.6
Turhal,ZAFER,1.5
Turhal,SAADET,1.2
Turhal,BBP,0
Turhal,DEM,0
Turhal,TIP,0
Zile,CHP,35.8
Zile,MHP,34.3
Zile,AKP,24.4
Zile,YRP,2.1
Zile,IYI,1.8
Zile,SAADET,0.6
Zile,BBP,0
Zile,ZAFER,0
Zile,DEM,0
Zile,TIP,0
Pazar,MHP,44.1
Pazar,AKP,43.4
Pazar,CHP,10.0
Pazar,IYI,1.6
Pazar,SAADET,0.5
Pazar,BBP,0
Pazar,YRP,0
Pazar,ZAFER,0
Pazar,DEM,0
Pazar,TIP,0
Yesilyurt,MHP,50.3
Yesilyurt,AKP,47.4
Yesilyurt,SAADET,1.1
Yesilyurt,CHP,0
Yesilyurt,IYI,0
Yesilyurt,BBP,0
Yesilyurt,YRP,0
Yesilyurt,ZAFER,0
Yesilyurt,DEM,0
Yesilyurt,TIP,0
Sulusaray,MHP,57.5
Sulusaray,AKP,40.4
Sulusaray,SAADET,1.1
Sulusaray,CHP,0
Sulusaray,IYI,0
Sulusaray,BBP,0
Sulusaray,YRP,0
Sulusaray,ZAFER,0
Sulusaray,DEM,0
Sulusaray,TIP,0
