district,party,base_vote_pct
Akcaabat,AKP,50.3
Akcaabat,CHP,16.9
Akcaabat,IYI,12.1
Akcaabat,DEM,0.1
Akcaabat,MHP,10.7
Akcaabat,YRP,4.6
Akcaabat,TIP,0.2
Akcaabat,ZAFER,1.7
Akcaabat,BBP,0.8
Arakli,AKP,58.8
Arakli,CHP,9.7
Arakli,IYI,5.6
Arakli,DEM,0.4
Arakli,MHP,14.4
Arakli,YRP,6.1
Arakli,TIP,0.1
Arakli,ZAFER,1.6
Arakli,BBP,1.5
Arsin,AKP,52.3
Arsin,CHP,8.8
Arsin,IYI,7.8
Arsin,DEM,0.1
Arsin,MHP,9.1
Arsin,YRP,4.1
Arsin,TIP,0.1
Arsin,ZAFER,1.1
Arsin,BBP,14.7
Besikduzu,AKP,28.6
Besikduzu,CHP,18.6
Besikduzu,IYI,39.4
Besikduzu,DEM,0.2
Besikduzu,MHP,7.9
Besikduzu,YRP,1.3
Besikduzu,TIP,0.3
Besikduzu,ZAFER,1.5
Besikduzu,BBP,0.3
Carsibasi,AKP,46.4
Carsibasi,CHP,12.1
Carsibasi,IYI,15.5
Carsibasi,DEM,0.1
Carsibasi,MHP,16.7
Carsibasi,YRP,5.7
Carsibasi,TIP,0.2
Carsibasi,ZAFER,1.1
Carsibasi,BBP,0.4
Caykara,AKP,56.3
Caykara,CHP,13.6
Caykara,IYI,6.9
Caykara,DEM,0.1
Caykara,MHP,13.1
Caykara,YRP,4.3
Caykara,TIP,0.2
Caykara,ZAFER,1.5
Caykara,BBP,1.3
Dernekpazari,AKP,66.0
Dernekpazari,CHP,8.8
Dernekpazari,IYI,5.8
Dernekpazari,DEM,0.1
Dernekpazari,MHP,9.8
Dernekpazari,YRP,5.4
Dernekpazari,TIP,0.0
Dernekpazari,ZAFER,1.7
Dernekpazari,BBP,0.7
Duzkoy,AKP,47.5
Duzkoy,CHP,23.9
Duzkoy,IYI,8.0
Duzkoy,DEM,0.1
Duzkoy,MHP,12.3
Duzkoy,YRP,3.2
Duzkoy,TIP,0.1
Duzkoy,ZAFER,1.3
Duzkoy,BBP,0.4
Hayrat,AKP,63.3
Hayrat,CHP,5.9
Hayrat,IYI,4.5
Hayrat,DEM,0.1
Hayrat,MHP,19.5
Hayrat,YRP,4.0
Hayrat,TIP,0.4
Hayrat,ZAFER,0.8
Hayrat,BBP,0.5
Koprubasi,AKP,60.9
Koprubasi,CHP,7.6
Koprubasi,IYI,6.8
Koprubasi,DEM,0.0
Koprubasi,MHP,13.3
Koprubasi,YRP,6.2
Koprubasi,TIP,0.1
Koprubasi,ZAFER,1.1
Koprubasi,BBP,2.4
Macka,AKP,52.1
Macka,CHP,20.1
Macka,IYI,7.3
Macka,DEM,0.1
Macka,MHP,11.8
Macka,YRP,3.3
Macka,TIP,0.2
Macka,ZAFER,1.4
Macka,BBP,1.0
Of,AKP,57.3
Of,CHP,9.1
Of,IYI,5.4
Of,DEM,0.4
Of,MHP,16.8
Of,YRP,6.9
Of,TIP,0.2
Of,ZAFER,1.6
Of,BBP,0.6
Ortahisar,AKP,43.1
Ortahisar,CHP,22.8
Ortahisar,IYI,13.6
Ortahisar,DEM,0.5
Ortahisar,MHP,9.3
Ortahisar,YRP,4.1
Ortahisar,TIP,0.3
Ortahisar,ZAFER,2.3
Ortahisar,BBP,1.1
Surmene,AKP,51.1
Surmene,CHP,14.0
Surmene,IYI,8.7
Surmene,DEM,0.2
Surmene,MHP,11.6
Surmene,YRP,8.7
Surmene,TIP,0.2
Surmene,ZAFER,2.0
Surmene,BBP,1.2
Salpazari,AKP,53.9
Salpazari,CHP,11.0
Salpazari,IYI,17.0
Salpazari,DEM,0.0
Salpazari,MHP,12.0
Salpazari,YRP,2.9
Salpazari,TIP,0.1
Salpazari,ZAFER,0.7
Salpazari,BBP,0.5
Tonya,AKP,45.3
Tonya,CHP,23.7
Tonya,IYI,14.5
Tonya,DEM,0.1
Tonya,MHP,6.5
Tonya,YRP,4.1
Tonya,TIP,0.4
Tonya,ZAFER,1.3
Tonya,BBP,0.8
Vakfikebir,AKP,46.0
Vakfikebir,CHP,13.9
Vakfikebir,IYI,16.9
Vakfikebir,DEM,0.1
Vakfikebir,MHP,12.4
Vakfikebir,YRP,6.6
Vakfikebir,TIP,0.2
Vakfikebir,ZAFER,1.5
Vakfikebir,BBP,0.5
Yomra,AKP,49.9
Yomra,CHP,16.4
Yomra,IYI,12.2
Yomra,DEM,0.3
Yomra,MHP,9.0
Yomra,YRP,4.0
Yomra,TIP,0.3
Yomra,ZAFER,2.4
Yomra,BBP,2.7
