district,party,base_vote_pct
Pulumur,AKP,8.95
Pulumur,CHP,60.03
Pulumur,IYI,1.67
Pulumur,DEM,23.25
Pulumur,MHP,2.45
Pulumur,YRP,1.08
Pulumur,TIP,0
Pulumur,ZAFER,0
Pulumur,BBP,0.26
Pertek,AKP,16.36
Pertek,CHP,27.36
Pertek,IYI,2.28
Pertek,DEM,42.83
Pertek,MHP,7.16
Pertek,YRP,0.93
Pertek,TIP,0
Pertek,ZAFER,0
Pertek,BBP,0.60
Ovacik,AKP,7.68
Ovacik,CHP,43.25
Ovacik,IYI,1.74
Ovacik,DEM,40.24
Ovacik,MHP,2.31
Ovacik,YRP,0.49
Ovacik,TIP,0
Ovacik,ZAFER,0
Ovacik,BBP,0.19
Nazimiye,AKP,7.76
Nazimiye,CHP,43.68
Nazimiye,IYI,1.76
Nazimiye,DEM,38.96
Nazimiye,MHP,3.69
Nazimiye,YRP,1.07
Nazimiye,TIP,0
Nazimiye,ZAFER,0
Nazimiye,BBP,0.26
Mazgirt,AKP,9.88
Mazgirt,CHP,28.65
Mazgirt,IYI,1.24
Mazgirt,DEM,53.24
Mazgirt,MHP,2.60
Mazgirt,YRP,1.19
Mazgirt,TIP,0
Mazgirt,ZAFER,0
Mazgirt,BBP,0.25
Hozat,AKP,10.40
Hozat,CHP,44.41
Hozat,IYI,1.61
Hozat,DEM,35.08
Hozat,MHP,2.82
Hozat,YRP,1.77
Hozat,TIP,0
Hozat,ZAFER,0
Hozat,BBP,0.16
Cemisgezek,AKP,28.50
Cemisgezek,CHP,30.12
Cemisgezek,IYI,3.69
Cemisgezek,DEM,8.72
Cemisgezek,MHP,24.56
Cemisgezek,YRP,1.64
Cemisgezek,TIP,0
Cemisgezek,ZAFER,0
Cemisgezek,BBP,0.53
Merkez,AKP,9.93
Merkez,CHP,26.91
Merkez,IYI,2.38
Merkez,DEM,53.89
Merkez,MHP,3.12
Merkez,YRP,0.77
Merkez,TIP,0
Merkez,ZAFER,0
Merkez,BBP,0.21
