district,party,base_vote_pct
Banaz,AKP,35.6
Banaz,CHP,32.6
Banaz,IYI,12.7
Banaz,DEM,0.5
Banaz,MHP,10.5
Banaz,YRP,1.4
Banaz,TIP,0.2
Banaz,ZAFER,1.9
Banaz,BBP,1.5
Esme,AKP,32.9
Esme,CHP,39.4
Esme,IYI,13.9
Esme,DEM,1
Esme,MHP,7.1
Esme,YRP,0.7
Esme,TIP,0.3
Esme,ZAFER,1.2
Esme,BBP,0.4
Karahalli,AKP,41
Karahalli,CHP,34.4
Karahalli,IYI,10.3
Karahalli,DEM,0.6
Karahalli,MHP,7.3
Karahalli,YRP,1.5
Karahalli,TIP,0.3
Karahalli,ZAFER,1.2
Karahalli,BBP,0.5
Merkez,AKP,36.3
Merkez,CHP,26
Merkez,IYI,20.2
Merkez,DEM,1.6
Merkez,MHP,9.5
Merkez,YRP,1.5
Merkez,TIP,0.4
Merkez,ZAFER,1.7
Merkez,BBP,0.5
Sivasli,AKP,35.2
Sivasli,CHP,36.7
Sivasli,IYI,10.6
Sivasli,DEM,0.9
Sivasli,MHP,10.6
Sivasli,YRP,1.2
Sivasli,TIP,0.3
Sivasli,ZAFER,1.1
Sivasli,BBP,0.7
Ulubey,AKP,30.2
Ulubey,CHP,38.7
Ulubey,IYI,15.1
Ulubey,DEM,0.4
Ulubey,MHP,7.5
Ulubey,YRP,1.7
Ulubey,TIP,0.3
Ulubey,ZAFER,1.1
Ulubey,BBP,2.3
