district,party,base_vote_pct
Bahcesaray,AKP,21.60
Bahcesaray,CHP,1.48
Bahcesaray,IYI,2.12
Bahcesaray,DEM,24.66
Bahcesaray,MHP,0
Bahcesaray,YRP,17.27
Bahcesaray,TIP,0
Bahcesaray,ZAFER,0
Bahcesaray,BBP,0
Bahcesaray,SAADET,1.20
Baskale,AKP,30.01
Baskale,CHP,5.41
Baskale,IYI,0
Baskale,DEM,59.19
Baskale,MHP,0
Baskale,YRP,1.55
Baskale,TIP,0
Baskale,ZAFER,0
Baskale,BBP,1.22
Baskale,SAADET,0.48
Caldiran,AKP,32.23
Caldiran,CHP,1.66
Caldiran,IYI,0
Caldiran,DEM,49.58
Caldiran,MHP,0
Caldiran,YRP,14.34
Caldiran,TIP,0
Caldiran,ZAFER,0
Caldiran,BBP,0
Caldiran,SAADET,0.38
Catak,AKP,27.57
Catak,CHP,0
Catak,IYI,0
Catak,DEM,57.49
Catak,MHP,0
Catak,YRP,9.93
Catak,TIP,0
Catak,ZAFER,1.14
Catak,BBP,0
Catak,SAADET,0.92
Edremit,AKP,25.13
Edremit,CHP,2.87
Edremit,IYI,0.60
Edremit,DEM,58.69
Edremit,MHP,0
Edremit,YRP,6.36
Edremit,TIP,0
Edremit,ZAFER,1.29
Edremit,BBP,0
Edremit,SAADET,0
Ercis,AKP,39.29
Ercis,CHP,1.58
Ercis,IYI,0.62
Ercis,DEM,50.00
Ercis,MHP,0
Ercis,YRP,3.10
Ercis,TIP,0
Ercis,ZAFER,0.53
Ercis,BBP,0.69
Ercis,SAADET,0
Gevas,AKP,32.47
Gevas,CHP,2.52
Gevas,IYI,0
Gevas,DEM,44.39
Gevas,MHP,0
Gevas,YRP,16.84
Gevas,TIP,0
Gevas,ZAFER,0.56
Gevas,BBP,0
Gevas,SAADET,1.26
Gurpinar,AKP,27.58
Gurpinar,CHP,1.83
Gurpinar,IYI,0
Gurpinar,DEM,46.67
Gurpinar,MHP,0
Gurpinar,YRP,16.30
Gurpinar,TIP,0
Gurpinar,ZAFER,0.50
Gurpinar,BBP,0
Gurpinar,SAADET,0
Ipekyolu,AKP,23.70
Ipekyolu,CHP,3.18
Ipekyolu,IYI,0.65
Ipekyolu,DEM,58.31
Ipekyolu,MHP,0
Ipekyolu,YRP,5.64
Ipekyolu,TIP,0
Ipekyolu,ZAFER,0.98
Ipekyolu,BBP,0.45
Ipekyolu,SAADET,1.26
Muradiye,AKP,36.75
Muradiye,CHP,2.36
Muradiye,IYI,0
Muradiye,DEM,46.41
Muradiye,MHP,0
Muradiye,YRP,3.50
Muradiye,TIP,0
Muradiye,ZAFER,0
Muradiye,BBP,0
Muradiye,SAADET,0.43
Ozalp,AKP,18.97
Ozalp,CHP,3.21
Ozalp,IYI,0.83
Ozalp,DEM,71.71
Ozalp,MHP,0
Ozalp,YRP,2.62
Ozalp,TIP,0
Ozalp,ZAFER,0.85
Ozalp,BBP,0
Ozalp,SAADET,0.38
Saray,AKP,16.11
Saray,CHP,26.49
Saray,IYI,0
Saray,DEM,51.54
Saray,MHP,0
Saray,YRP,1.90
Saray,TIP,0
Saray,ZAFER,0
Saray,BBP,0
Saray,SAADET,0.36
Tusba,AKP,26.42
Tusba,CHP,3.41
Tusba,IYI,0.87
Tusba,DEM,55.66
Tusba,MHP,0
Tusba,YRP,5.88
Tusba,TIP,0
Tusba,ZAFER,0.57
Tusba,BBP,0.91
Tusba,SAADET,0
