district,party,base_vote_pct
Altinova,AKP,41.9
Altinova,CHP,46
Altinova,IYI,0.7
Altinova,DEM,0
Altinova,MHP,2
Altinova,YRP,3.5
Altinova,TIP,0
Altinova,ZAFER,1.2
Altinova,BBP,0
Altinova,SAADET,0
Armutlu,AKP,44.2
Armutlu,CHP,10.1
Armutlu,IYI,1.4
Armutlu,DEM,0
Armutlu,MHP,35.6
Armutlu,YRP,1.5
Armutlu,TIP,0
Armutlu,ZAFER,0.6
Armutlu,BBP,0
Armutlu,SAADET,5.3
Cinarcik,AKP,37.6
Cinarcik,CHP,53.1
Cinarcik,IYI,1.6
Cinarcik,DEM,0
Cinarcik,MHP,3.4
Cinarcik,YRP,0.7
Cinarcik,TIP,0
Cinarcik,ZAFER,1.6
Cinarcik,BBP,0
Cinarcik,SAADET,0
Ciftlikkoy,AKP,34.7
Ciftlikkoy,CHP,47.6
Ciftlikkoy,IYI,1.3
Ciftlikkoy,DEM,0
Ciftlikkoy,MHP,6.4
Ciftlikkoy,YRP,2.9
Ciftlikkoy,TIP,0.8
Ciftlikkoy,ZAFER,3.6
Ciftlikkoy,BBP,0
Ciftlikkoy,SAADET,0.9
Merkez,AKP,37.4
Merkez,CHP,43.3
Merkez,IYI,3.6
Merkez,DEM,3.9
Merkez,MHP,0
Merkez,YRP,3.6
Merkez,TIP,0.4
Merkez,ZAFER,3
Merkez,BBP,0
Merkez,SAADET,1.2
Termal,AKP,64.9
Termal,CHP,18
Termal,IYI,0
Termal,DEM,0
Termal,MHP,9.9
Termal,YRP,4
Termal,TIP,0
Termal,ZAFER,1.1
Termal,BBP,0
Termal,SAADET,1.7
