district,party,base_vote_pct
Yerkoy,AKP,41.90
Yerkoy,CHP,0
Yerkoy,IYI,29.06
Yerkoy,DEM,0.98
Yerkoy,MHP,21.42
Yerkoy,YRP,2.07
Yerkoy,ZAFER,1.46
Yerkoy,TIP,0.25
Yerkoy,BBP,1.05
Yenifakili,AKP,31.78
Yenifakili,CHP,0
Yenifakili,IYI,37.00
Yenifakili,DEM,0.26
Yenifakili,MHP,24.51
Yenifakili,YRP,1.71
Yenifakili,ZAFER,1.60
Yenifakili,TIP,0.63
Yenifakili,BBP,0.55
Sorgun,AKP,50.51
Sorgun,CHP,0
Sorgun,IYI,16.84
Sorgun,DEM,0.21
Sorgun,MHP,21.42
Sorgun,YRP,6.75
Sorgun,ZAFER,1.13
Sorgun,TIP,0.13
Sorgun,BBP,1.48
Sefaatli,AKP,39.38
Sefaatli,CHP,0
Sefaatli,IYI,31.76
Sefaatli,DEM,0.26
Sefaatli,MHP,22.28
Sefaatli,YRP,2.64
Sefaatli,ZAFER,0.93
Sefaatli,TIP,0.14
Sefaatli,BBP,0.72
Sarikaya,AKP,43.73
Sarikaya,CHP,0
Sarikaya,IYI,17.19
Sarikaya,DEM,0.42
Sarikaya,MHP,28.33
Sarikaya,YRP,5.22
Sarikaya,ZAFER,1.45
Sarikaya,TIP,0.11
Sarikaya,BBP,1.86
Saraykent,AKP,51.54
Saraykent,CHP,0
Saraykent,IYI,12.38
Saraykent,DEM,0.09
Saraykent,MHP,28.35
Saraykent,YRP,4.81
Saraykent,ZAFER,0.80
Saraykent,TIP,0.05
Saraykent,BBP,0.92
Kadisehri,AKP,47.16
Kadisehri,CHP,0
Kadisehri,IYI,15.86
Kadisehri,DEM,0.11
Kadisehri,MHP,27.50
Kadisehri,YRP,6.00
Kadisehri,ZAFER,0.92
Kadisehri,TIP,0.11
Kadisehri,BBP,0.86
Cekerek,AKP,54.06
Cekerek,CHP,0
Cekerek,IYI,20.14
Cekerek,DEM,0.20
Cekerek,MHP,18.14
Cekerek,YRP,4.11
Cekerek,ZAFER,0.84
Cekerek,TIP,0.19
Cekerek,BBP,0.77
Cayiralan,AKP,39.81
Cayiralan,CHP,0
Cayiralan,IYI,31.23
Cayiralan,DEM,0.26
Cayiralan,MHP,20.98
Cayiralan,YRP,3.17
Cayiralan,ZAFER,1.10
Cayiralan,TIP,0.33
Cayiralan,BBP,0.76
Candir,AKP,34.27
Candir,CHP,0
Candir,IYI,27.28
Candir,DEM,0.15
Candir,MHP,32.78
Candir,YRP,1.31
Candir,ZAFER,1.78
Candir,TIP,0.04
Candir,BBP,0.55
Bogazliyan,AKP,34.22
Bogazliyan,CHP,0
Bogazliyan,IYI,33.07
Bogazliyan,DEM,0.74
Bogazliyan,MHP,24.28
Bogazliyan,YRP,2.81
Bogazliyan,ZAFER,1.58
Bogazliyan,TIP,0.29
Bogazliyan,BBP,0.61
Aydincik,AKP,48.08
Aydincik,CHP,0
Aydincik,IYI,19.44
Aydincik,DEM,0.15
Aydincik,MHP,25.23
Aydincik,YRP,3.95
Aydincik,ZAFER,0.82
Aydincik,TIP,0.20
Aydincik,BBP,0.76
Akdagmadeni,AKP,44.40
Akdagmadeni,CHP,0
Akdagmadeni,IYI,21.88
Akdagmadeni,DEM,0.16
Akdagmadeni,MHP,23.54
Akdagmadeni,YRP,6.67
Akdagmadeni,ZAFER,1.20
Akdagmadeni,TIP,0.14
Akdagmadeni,BBP,0.64
Merkez,AKP,39.91
Merkez,CHP,0
Merkez,IYI,25.32
Merkez,DEM,0.29
Merkez,MHP,23.90
Merkez,YRP,3.73
Merkez,ZAFER,1.55
Merkez,TIP,0.20
Merkez,BBP,3.45
