district,party,base_vote_pct
Alapli,AKP,39.2
Alapli,CHP,21.9
Alapli,IYI,10.2
Alapli,DEM,0.3
Alapli,MHP,20.0
Alapli,YRP,2.1
Alapli,TIP,0.4
Alapli,ZAFER,1.5
Alapli,BBP,1.8
Caycuma,AKP,40.6
Caycuma,CHP,32.8
Caycuma,IYI,8.1
Caycuma,DEM,0.3
Caycuma,MHP,8.8
Caycuma,YRP,2.9
Caycuma,TIP,0.4
Caycuma,ZAFER,1.7
Caycuma,BBP,0.5
Devrek,AKP,48.7
Devrek,CHP,25.3
Devrek,IYI,8.6
Devrek,DEM,0.3
Devrek,MHP,7.4
Devrek,YRP,2.5
Devrek,TIP,0.3
Devrek,ZAFER,1.5
Devrek,BBP,0.6
Eregli,AKP,41.0
Eregli,CHP,30.4
Eregli,IYI,13.0
Eregli,DEM,0.4
Eregli,MHP,7.2
Eregli,YRP,1.8
Eregli,TIP,0.5
Eregli,ZAFER,1.8
Eregli,BBP,1.2
Gokcebey,AKP,42.6
Gokcebey,CHP,30.4
Gokcebey,IYI,12.6
Gokcebey,DEM,0.4
Gokcebey,MHP,4.5
Gokcebey,YRP,2.8
Gokcebey,TIP,0.3
Gokcebey,ZAFER,1.5
Gokcebey,BBP,0.7
Kilimli,AKP,35.2
Kilimli,CHP,37.5
Kilimli,IYI,7.8
Kilimli,DEM,0.2
Kilimli,MHP,10.3
Kilimli,YRP,3.2
Kilimli,TIP,0.5
Kilimli,ZAFER,1.9
Kilimli,BBP,0.5
Kozlu,AKP,38.0
Kozlu,CHP,32.6
Kozlu,IYI,11.0
Kozlu,DEM,0.4
Kozlu,MHP,8.1
Kozlu,YRP,4.0
Kozlu,TIP,0.5
Kozlu,ZAFER,2.2
Kozlu,BBP,0.6
Merkez,AKP,35.2
Merkez,CHP,41.2
Merkez,IYI,8.2
Merkez,DEM,0.3
Merkez,MHP,6.0
Merkez,YRP,2.9
Merkez,TIP,0.5
Merkez,ZAFER,2.1
Merkez,BBP,0.6
