district,seat_count,party,base_vote_pct,seats_won_2023
Adana,15,AKP,30.8,5
Adana,15,CHP,28.6,5
Adana,15,IYI,10.7,2
Adana,15,DEM,9.7,1
Adana,15,MHP,11,2
Adana,15,YRP,1.8,0
Adana,15,TIP,2.3,0
Adana,15,ZAFER,2.1,0
Adana,15,BBP,0.9,0
Adıyaman,5,AKP,52.3,4
Adıyaman,5,CHP,18.8,1
Adıyaman,5,IYI,0,0
Adıyaman,5,DEM,12,0
Adıyaman,5,MHP,4.3,0
Adıyaman,5,YRP,4.7,0
Adıyaman,5,TIP,0,0
Adıyaman,5,ZAFER,0.6,0
Adıyaman,5,BBP,1,0
Afyonkarahisar,6,AKP,44.2,3
Afyonkarahisar,6,CHP,18.8,1
Afyonkarahisar,6,IYI,12.4,1
Afyonkarahisar,6,DEM,0.6,0
Afyonkarahisar,6,MHP,16.1,1
Afyonkarahisar,6,YRP,2.9,0
Afyonkarahisar,6,TIP,0.3,0
Afyonkarahisar,6,ZAFER,2.2,0
Afyonkarahisar,6,BBP,1.1,0
Ağrı,4,AKP,25.4,1
Ağrı,4,CHP,11.2,0
Ağrı,4,IYI,1.7,0
Ağrı,4,DEM,54.5,3
Ağrı,4,MHP,2.6,0
Ağrı,4,YRP,2,0
Ağrı,4,TIP,0,0
Ağrı,4,ZAFER,0.2,0
Ağrı,4,BBP,0.3,0
Amasya,3,AKP,39.6,2
Amasya,3,CHP,29.6,1
Amasya,3,IYI,7.1,0
Amasya,3,DEM,0.7,0
Amasya,3,MHP,16.8,0
Amasya,3,YRP,1.8,0
Amasya,3,TIP,0.5,0
Amasya,3,ZAFER,1.5,0
Amasya,3,BBP,0.8,0
Ankara-1,13,AKP,25,4
Ankara-1,13,CHP,41.6,6
Ankara-1,13,IYI,13,2
Ankara-1,13,DEM,4.2,0
Ankara-1,13,MHP,8.2,1
Ankara-1,13,YRP,1.9,0
Ankara-1,13,TIP,0,0
Ankara-1,13,ZAFER,3,0
Ankara-1,13,BBP,0.9,0
Ankara-2,11,AKP,41.8,6
Ankara-2,11,CHP,20.7,3
Ankara-2,11,IYI,11.5,1
Ankara-2,11,DEM,2.4,0
Ankara-2,11,MHP,12,1
Ankara-2,11,YRP,3.5,0
Ankara-2,11,TIP,1.2,0
Ankara-2,11,ZAFER,3.4,0
Ankara-2,11,BBP,1.4,0
Ankara-3,13,AKP,32.3,5
Ankara-3,13,CHP,27.8,4
Ankara-3,13,IYI,13.8,2
Ankara-3,13,DEM,2.7,0
Ankara-3,13,MHP,10.8,1
Ankara-3,13,YRP,2.7,0
Ankara-3,13,TIP,2.5,0
Ankara-3,13,ZAFER,3.6,0
Ankara-3,13,BBP,1.6,0
Antalya,18,AKP,29.1,6
Antalya,18,CHP,32.3,6
Antalya,18,IYI,11.3,2
Antalya,18,DEM,4.9,1
Antalya,18,MHP,10,2
Antalya,18,YRP,1.3,0
Antalya,18,TIP,4.6,0
Antalya,18,ZAFER,2.8,0
Antalya,18,BBP,0.7,0
Artvin,2,AKP,37.2,1
Artvin,2,CHP,29.9,1
Artvin,2,IYI,13,0
Artvin,2,DEM,1.2,0
Artvin,2,MHP,9.7,0
Artvin,2,YRP,2.3,0
Artvin,2,TIP,1.6,0
Artvin,2,ZAFER,1.2,0
Artvin,2,BBP,0.4,0
Aydın,8,AKP,28.7,3
Aydın,8,CHP,35.6,4
Aydın,8,IYI,12.9,1
Aydın,8,DEM,7.3,0
Aydın,8,MHP,8.6,0
Aydın,8,YRP,0.7,0
Aydın,8,TIP,0,0
Aydın,8,ZAFER,2.2,0
Aydın,8,BBP,0.9,0
Balıkesir,9,AKP,34.7,4
Balıkesir,9,CHP,31.5,3
Balıkesir,9,IYI,14.6,1
Balıkesir,9,DEM,2.3,0
Balıkesir,9,MHP,8.2,1
Balıkesir,9,YRP,2.1,0
Balıkesir,9,TIP,1.3,0
Balıkesir,9,ZAFER,2.1,0
Balıkesir,9,BBP,0.7,0
Bilecik,2,AKP,37.2,1
Bilecik,2,CHP,26.7,1
Bilecik,2,IYI,12.2,0
Bilecik,2,DEM,2.9,0
Bilecik,2,MHP,10.3,0
Bilecik,2,YRP,3.3,0
Bilecik,2,TIP,0.9,0
Bilecik,2,ZAFER,2.2,0
Bilecik,2,BBP,0.9,0
Bingöl,3,AKP,39.2,2
Bingöl,3,CHP,5.8,0
Bingöl,3,IYI,2,0
Bingöl,3,DEM,24,1
Bingöl,3,MHP,13.6,0
Bingöl,3,YRP,10,0
Bingöl,3,TIP,0,0
Bingöl,3,ZAFER,0.2,0
Bingöl,3,BBP,0.5,0
Bitlis,3,AKP,37.7,1
Bitlis,3,CHP,0,0
Bitlis,3,IYI,13,0
Bitlis,3,DEM,40.2,2
