district,seat_count,party,base_vote_pct
Adana,15,AKP,19.9
Adana,15,CHP,41.3
Adana,15,IYI,6.8
Adana,15,DEM,6.6
Adana,15,MHP,13
Adana,15,YRP,3.2
Adana,15,TIP,0.4
Adana,15,ZAFER,2.3
Adana,15,BBP,2.1
Adana,15,SAADET,0.9
Adıyaman,5,AKP,35
Adıyaman,5,CHP,26.2
Adıyaman,5,IYI,1.5
Adıyaman,5,DEM,6
Adıyaman,5,MHP,4.9
Adıyaman,5,YRP,13.2
Adıyaman,5,TIP,0.3
Adıyaman,5,ZAFER,0.1
Adıyaman,5,BBP,1.5
Adıyaman,5,SAADET,4
Afyonkarahisar,6,AKP,35
Afyonkarahisar,6,CHP,25.3
Afyonkarahisar,6,IYI,6.7
Afyonkarahisar,6,DEM,0.1
Afyonkarahisar,6,MHP,22.2
Afyonkarahisar,6,YRP,5.3
Afyonkarahisar,6,TIP,0.2
Afyonkarahisar,6,ZAFER,1.1
Afyonkarahisar,6,BBP,1.1
Afyonkarahisar,6,SAADET,1
Ağrı,4,AKP,26.2
Ağrı,4,CHP,6.1
Ağrı,4,IYI,1.9
Ağrı,4,DEM,46.2
Ağrı,4,MHP,2.3
Ağrı,4,YRP,8.5
Ağrı,4,TIP,0
Ağrı,4,ZAFER,0.5
Ağrı,4,BBP,0.7
Ağrı,4,SAADET,1.4
Amasya,3,AKP,34.5
Amasya,3,CHP,35.1
Amasya,3,IYI,3.3
Amasya,3,DEM,0
Amasya,3,MHP,20
Amasya,3,YRP,3.6
Amasya,3,TIP,0.2
Amasya,3,ZAFER,0.6
Amasya,3,BBP,0.4
Amasya,3,SAADET,0.7
Ankara-1,13,AKP,28.1
Ankara-1,13,CHP,49.4
Ankara-1,13,IYI,2.9
Ankara-1,13,DEM,1
Ankara-1,13,MHP,4.7
Ankara-1,13,YRP,4.6
Ankara-1,13,TIP,0.8
Ankara-1,13,ZAFER,3.8
Ankara-1,13,BBP,1.3
Ankara-1,13,SAADET,0.8
Ankara-2,13,AKP,28.1
Ankara-2,13,CHP,49.4
Ankara-2,13,IYI,2.9
Ankara-2,13,DEM,1
Ankara-2,13,MHP,4.7
Ankara-2,13,YRP,4.6
Ankara-2,13,TIP,0.8
Ankara-2,13,ZAFER,3.8
Ankara-2,13,BBP,1.3
Ankara-2,13,SAADET,0.8
Ankara-3,13,AKP,28.1
Ankara-3,13,CHP,49.4
Ankara-3,13,IYI,2.9
Ankara-3,13,DEM,1
Ankara-3,13,MHP,4.7
Ankara-3,13,YRP,4.6
Ankara-3,13,TIP,0.8
Ankara-3,13,ZAFER,3.8
Ankara-3,13,BBP,1.3
Ankara-3,13,SAADET,0.8
Antalya,18,AKP,27.4
Antalya,18,CHP,46.4
Antalya,18,IYI,6.2
Antalya,18,DEM,2.9
Antalya,18,MHP,6
Antalya,18,YRP,1.7
Antalya,18,TIP,0.7
Antalya,18,ZAFER,2.5
Antalya,18,BBP,0.9
Antalya,18,SAADET,0.7
Artvin,2,AKP,36.4
Artvin,2,CHP,37.7
Artvin,2,IYI,4.3
Artvin,2,DEM,0.1
Artvin,2,MHP,11.8
Artvin,2,YRP,4.1
Artvin,2,TIP,0.9
Artvin,2,ZAFER,0.1
Artvin,2,BBP,0.7
Artvin,2,SAADET,0.9
Aydın,8,AKP,19.4
Aydın,8,CHP,46.7
Aydın,8,IYI,8.5
Aydın,8,DEM,3.4
Aydın,8,MHP,14.1
Aydın,8,YRP,1.1
Aydın,8,TIP,0.7
Aydın,8,ZAFER,1.8
Aydın,8,BBP,0.4
Aydın,8,SAADET,0.5
Balıkesir,9,AKP,37.7
Balıkesir,9,CHP,45.4
Balıkesir,9,IYI,5.5
Balıkesir,9,DEM,0.8
Balıkesir,9,MHP,1.4
Balıkesir,9,YRP,3.4
Balıkesir,9,TIP,0.6
Balıkesir,9,ZAFER,1.5
Balıkesir,9,BBP,0.5
Balıkesir,9,SAADET,0.9
Bilecik,2,AKP,27.3
Bilecik,2,CHP,33.5
Bilecik,2,IYI,13.3
Bilecik,2,DEM,0
Bilecik,2,MHP,11
Bilecik,2,YRP,7.4
Bilecik,2,TIP,0.4
Bilecik,2,ZAFER,0.8
Bilecik,2,BBP,1.3
Bilecik,2,SAADET,1
Bingöl,3,AKP,33.1
Bingöl,3,CHP,4.4
Bingöl,3,IYI,1.1
Bingöl,3,DEM,19.8
Bingöl,3,MHP,3.5
Bingöl,3,YRP,17.2
Bingöl,3,TIP,0
Bingöl,3,ZAFER,0.4
Bingöl,3,BBP,0.8
Bingöl,3,SAADET,1.2
Bitlis,3,AKP,32.1
Bitlis,3,CHP,2.6
Bitlis,3,IYI,2.6
Bitlis,3,DEM,35.3
Bitlis,3,MHP,4.2
Bitlis,3,YRP,13.1
Bitlis,3,TIP,0
Bitlis,3,ZAFER,0.2
Bitlis,3,BBP,2
Bitlis,3,SAADET,2.8
Bolu,3,AKP,32.1
Bolu,3,CHP,33.3
Bolu,3,IYI,2
Bolu,3,DEM,0.4
Bolu,3,MHP,19.1
Bolu,3,YRP,4.7
Bolu,3,TIP,0.4
Bolu,3,ZAFER,1.4
Bolu,3,BBP,3.1
Bolu,3,SAADET,1.6
Burdur,3,AKP,35.6
Burdur,3,CHP,34.5
Burdur,3,IYI,4.7
Burdur,3,DEM,0.1
Burdur,3,MHP,18.3
Burdur,3,YRP,2
Burdur,3,TIP,0.3
Burdur,3,ZAFER,1
Burdur,3,BBP,0.5
Burdur,3,SAADET,1.3
Bursa-1,11,AKP,35.4
Bursa-1,11,CHP,39
Bursa-1,11,IYI,4.8
Bursa-1,11,DEM,2.2
Bursa-1,11,MHP,1.7
Bursa-1,11,YRP,6.9
Bursa-1,11,TIP,0.2
Bursa-1,11,ZAFER,4.1
Bursa-1,11,BBP,0.3
Bursa-1,11,SAADET,2.4
Bursa-2,11,AKP,35.4
Bursa-2,11,CHP,39
Bursa-2,11,IYI,4.8
Bursa-2,11,DEM,2.2
Bursa-2,11,MHP,1.7
Bursa-2,11,YRP,6.9
Bursa-2,11,TIP,0.2
Bursa-2,11,ZAFER,4.1
Bursa-2,11,BBP,0.3
Bursa-2,11,SAADET,2.4
Çanakkale,4,AKP,30.5
Çanakkale,4,CHP,39.7
Çanakkale,4,IYI,13.2
Çanakkale,4,DEM,1.1
Çanakkale,4,MHP,9.4
Çanakkale,4,YRP,1.1
Çanakkale,4,TIP,0.6
Çanakkale,4,ZAFER,1.7
Çanakkale,4,BBP,0.5
Çanakkale,4,SAADET,0.4
Çankırı,2,AKP,38.5
Çankırı,2,CHP,7.1
Çankırı,2,IYI,3.6
Çankırı,2,DEM,0
Çankırı,2,MHP,42.2
Çankırı,2,YRP,4.2
Çankırı,2,TIP,0.2
Çankırı,2,ZAFER,0.1
Çankırı,2,BBP,0.3
Çankırı,2,SAADET,1
Çorum,4,AKP,34.1
Çorum,4,CHP,26.2
Çorum,4,IYI,3.7
Çorum,4,DEM,0
Çorum,4,MHP,20.1
Çorum,4,YRP,9
Çorum,4,TIP,0.2
Çorum,4,ZAFER,1.7
Çorum,4,BBP,1.2
Çorum,4,SAADET,1.3
Denizli,7,AKP,30.5
Denizli,7,CHP,47.7
Denizli,7,IYI,7
Denizli,7,DEM,1.2
Denizli,7,MHP,2.6
Denizli,7,YRP,3.7
Denizli,7,TIP,0.2
Denizli,7,ZAFER,2.2
Denizli,7,BBP,2.1
Denizli,7,SAADET,0.3
Diyarbakır,12,AKP,17.1
Diyarbakır,12,CHP,3.8
Diyarbakır,12,IYI,0.3
Diyarbakır,12,DEM,62.6
Diyarbakır,12,MHP,0
Diyarbakır,12,YRP,4.1
Diyarbakır,12,TIP,0
Diyarbakır,12,ZAFER,0.3
Diyarbakır,12,BBP,0.2
Diyarbakır,12,SAADET,0.8
Edirne,4,AKP,32.5
Edirne,4,CHP,48.2
Edirne,4,IYI,8.4
Edirne,4,DEM,0.2
Edirne,4,MHP,4.4
Edirne,4,YRP,0.6
Edirne,4,TIP,1.2
Edirne,4,ZAFER,1.9
Edirne,4,BBP,0.1
Edirne,4,SAADET,0.6
Elazığ,5,AKP,33.8
Elazığ,5,CHP,13.5
Elazığ,5,IYI,1.2
Elazığ,5,DEM,4.6
Elazığ,5,MHP,14.1
Elazığ,5,YRP,18.7
Elazığ,5,TIP,0.2
Elazığ,5,ZAFER,1
Elazığ,5,BBP,2.1
Elazığ,5,SAADET,4.9
Erzincan,2,AKP,28.6
Erzincan,2,CHP,27.8
Erzincan,2,IYI,1.8
Erzincan,2,DEM,0
Erzincan,2,MHP,28.8
Erzincan,2,YRP,4.2
Erzincan,2,TIP,1.5
Erzincan,2,ZAFER,0.1
Erzincan,2,BBP,1.1
Erzincan,2,SAADET,1.4
Erzurum,5,AKP,40
Erzurum,5,CHP,6.2
Erzurum,5,IYI,12.1
Erzurum,5,DEM,6.9
Erzurum,5,MHP,2.1
Erzurum,5,YRP,17.4
Erzurum,5,TIP,0.1
Erzurum,5,ZAFER,3.7
Erzurum,5,BBP,5.1
Erzurum,5,SAADET,2.1
Eskişehir,7,AKP,34.3
Eskişehir,7,CHP,48
Eskişehir,7,IYI,3.6
Eskişehir,7,DEM,0.4
Eskişehir,7,MHP,2.2
Eskişehir,7,YRP,2.3
Eskişehir,7,TIP,0.2
Eskişehir,7,ZAFER,3.5
Eskişehir,7,BBP,1.2
Eskişehir,7,SAADET,0.6
Gaziantep,14,AKP,35.5
Gaziantep,14,CHP,28.4
Gaziantep,14,IYI,2.2
Gaziantep,14,DEM,5.5
Gaziantep,14,MHP,1.6
Gaziantep,14,YRP,16.6
Gaziantep,14,TIP,0.2
Gaziantep,14,ZAFER,2.6
Gaziantep,14,BBP,1.3
Gaziantep,14,SAADET,1.2
Giresun,4,AKP,36.8
Giresun,4,CHP,29.9
Giresun,4,IYI,5.4
Giresun,4,DEM,0
Giresun,4,MHP,16.6
Giresun,4,YRP,5.7
Giresun,4,TIP,0.2
Giresun,4,ZAFER,0.6
Giresun,4,BBP,1
Giresun,4,SAADET,1.6
Gümüşhane,2,AKP,36.6
Gümüşhane,2,CHP,7.5
Gümüşhane,2,IYI,3.5
Gümüşhane,2,DEM,0
Gümüşhane,2,MHP,35
Gümüşhane,2,YRP,8.3
Gümüşhane,2,TIP,0.2
Gümüşhane,2,ZAFER,0.9
Gümüşhane,2,BBP,1.6
Gümüşhane,2,SAADET,1.6
Hakkari,3,AKP,28.3
Hakkari,3,CHP,2.7
Hakkari,3,IYI,0.2
Hakkari,3,DEM,54.1
Hakkari,3,MHP,1.5
Hakkari,3,YRP,8.1
Hakkari,3,TIP,0
Hakkari,3,ZAFER,0.9
Hakkari,3,BBP,0.6
Hakkari,3,SAADET,0.4
Hatay,10,AKP,33.1
Hatay,10,CHP,36.2
Hatay,10,IYI,3.5
Hatay,10,DEM,1
Hatay,10,MHP,5.6
Hatay,10,YRP,5.4
Hatay,10,TIP,3
Hatay,10,ZAFER,1.5
Hatay,10,BBP,1.5
Hatay,10,SAADET,1.5
Isparta,4,AKP,35.9
Isparta,4,CHP,21.7
Isparta,4,IYI,13.1
Isparta,4,DEM,0.3
Isparta,4,MHP,18.2
Isparta,4,YRP,3.4
Isparta,4,TIP,0.2
Isparta,4,ZAFER,3.1
Isparta,4,BBP,0.4
Isparta,4,SAADET,1.1
Mersin,13,AKP,9.1
Mersin,13,CHP,47.4
Mersin,13,IYI,6.9
Mersin,13,DEM,4.2
Mersin,13,MHP,23.3
Mersin,13,YRP,1.5
Mersin,13,TIP,0.6
Mersin,13,ZAFER,1.8
Mersin,13,BBP,0.5
Mersin,13,SAADET,0.5
İstanbul-1,35,AKP,38.2
İstanbul-1,35,CHP,45.7
İstanbul-1,35,IYI,1.5
İstanbul-1,35,DEM,1.7
İstanbul-1,35,MHP,0.6
İstanbul-1,35,YRP,3.8
İstanbul-1,35,TIP,0.7
İstanbul-1,35,ZAFER,3.6
İstanbul-1,35,BBP,0.4
İstanbul-1,35,SAADET,1
İstanbul-2,35,AKP,38.2
İstanbul-2,35,CHP,45.7
İstanbul-2,35,IYI,1.5
İstanbul-2,35,DEM,1.7
İstanbul-2,35,MHP,0.6
İstanbul-2,35,YRP,3.8
İstanbul-2,35,TIP,0.7
İstanbul-2,35,ZAFER,3.6
İstanbul-2,35,BBP,0.4
İstanbul-2,35,SAADET,1
İstanbul-3,35,AKP,38.2
